,,,EXAMENES CAMBRIDGE 2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CITY,PROYECTO,COLEGIO,NIVEL,YLE STARTERS,FECHA,YLE MOVERS,FECHA,YLE FLYERS,FECHA,KEY FS,FECHA,PET FS,FECHA,FCE FS,FECHA,PROPUESTA,ESTATUS,RESULTADOS
OBRE,UNOi,COLEGIO ALTUS MONTREAL,Primaria,,,20,sabado 07 feb,20,sabado 07 feb,,,,,,,3281,APLICADO,SI
OBRE,UNOi,INSTITUTO REGIONAL DE GUAYMAS A.C. OBREGON,Secundaria,,,,,,,77,lunes 09 feb,,,,,3293,APLICADO,SI
GYMAS,UNOi,INSTITUTO REGIONAL DE GUAYMAS A.C.,Secundaria,,,,,,,98,"martes, 10 feb",,,,,3290,APLICADO,SI
HMO,UNOi,INSTITUTO REGIONAL DE GUAYMAS A.C. ALTARES,Secundaria,,,,,,,165,"mier, 11 feb",,,,,3291,APLICADO,SI
HMO,UNOi,INSTITUTO REGIONAL NORTE A.C.,Secundaria,,,,,,,121,"jueves,12 feb",,,,,3292,APLICADO,SI
OBRE,UNOi,INSTITUTO BELLA VISTA,Primaria,,,,,63,viernes 20 feb,,,,,,,3282,APLICADO,SI
OBRE,UNOi,INSTITUTO BELLA VISTA,Secundaria,,,,,,,27,sabado 21 febrero,53,sabado 21 febrero,,,3282,APLICADO,SI
HMO,UNOi,COLEGIO LARREA,Primaria,48,viernes 06 marzo,43,viernes 06 marzo,22,viernes 06 marzo,,,,,,,3388,CENTRES,
HMO,UNOi,COLEGIO LARREA,Secundaria,,,,,,,138,sábado 07 marzo,46,sábado 07 marzo,22,sábado 07 marzo,3388,CENTRES,
HMO,UNOi,INSTITUTO ALEMAN MULTICULTURAL,Secundaria,2,13 MARZO PAPER- ARRIZON,1,13 MARZO PAPER- ARRIZON,4,13/03/2026   PAPER- ARRIZON,17,21 MARZO- DIGITAL LEC,21,21 MARZO- DIGITAL LEC,,,3467,EN QC,
HMO,UNOi,INSTITUTO BICULTURAL ARRIZON,Primaria,9,viernes 13 marzo,12,viernes 13 marzo,2,viernes 13 marzo,,,,,,,3360,EN QC,
OBRE,UNOi,INSTITUTO LOS PIONEROS,Primaria,,,17,viernes 20 marzo,,,4,viernes 20 marzo,,,,,3286,EN QC,
OBRE,UNOi,INSTITUTO LOS PIONEROS,Secundaria,,,,,,,10,viernes 20 marzo,10,viernes 20 de marzo,2,sabado 23 mayo,3286 Y 3294,EN QC,
HMO,UNOi,COLEGIO BILINGÜE NUEVA GALICIA,Secundaria,,,,,,,16,viernes 20 marzo,24,viernes 20 marzo,9,sabado 21 marzo,3466,EN QC,
OBRE,UNOi,INSTITUTO LEFIER,Primaria,,,,,49,sabado 18 abril,,,,,,,3542,EN QC,
OBRE,UNOi,INSTITUTO LEFIER,Secundaria,,,,,,,14,sabado 25 abril,5,sabado 25 abril,,,,,
HMO,UNOi,INSTITUTO MORERA,Primaria,8,sabado 25 abril,24,sabado 25 abril,19,sabado 25 abril,,,1,viernes 24 abril,,,3558,EN QC,
HMO,UNOi,INSTITUTO MORERA,Secundaria,,,,,,,5,viernes 24 abril,5,viernes 24 abril,2,sabado 21 marzo,3564,EN QC,
OBRE,UNOi,COLEGIO SAN MIGUEL,Primaria,,,27,miercoles 13 de mayo,,,,,,,,,3490,EN QC,
OBRE,UNOi,COLEGIO SAN MIGUEL,Secundaria,,,,,7,miercoles 13 mayo,,,,,,,3490,EN QC,
HMO,UNOi,COLEGIO BILINGÜE NUEVA GALICIA,Primaria,,,21,jueves 21 mayo,24,jueves 21 mayo,10,viernes 22 mayo,14,viernes 22 mayo,,,3391,EN QC,
OBRE,UNOi,COLEGIO EXCELENCIA,Secundaria,,,,,,,20,23 may,11,23 may,5,23 mayo,3537,EN QC,
PTO PCO,UNOi,LICEO MONTE ALBAN,Secundaria,,,,,,,,,18,sab 30 may,4,sab 30 may,3594,EN QC,
